Name,P1,P2,P3,r/d,D/d,k
354,14.855,122.07,21.459299,0.2971,2.4414,2.1459299
355,14.89,122.26,21.19083,0.2978,2.4452,2.119083
356,14.925,122.45,21.3857685,0.2985,2.449,2.13857685
357,14.96,122.64,21.5041255,0.2992,2.4528,2.15041255
358,14.995,122.83,21.284393,0.2999,2.4566,2.1284393
359,15.03,123.02,21.1840015,0.3006,2.4604,2.11840015
360,15.065,123.21,21.3493935,0.3013,2.4642,2.13493935
361,15.1,123.4,21.294755,0.302,2.468,2.1294755
362,15.135,123.59,21.1366495,0.3027,2.4718,2.11366495
363,15.17,123.78,21.109393,0.3034,2.4756,2.1109393
364,15.205,123.97,21.086701,0.3041,2.4794,2.1086701
365,15.24,124.16,20.942274,0.3048,2.4832,2.0942274
366,15.275,124.35,21.288677,0.3055,2.487,2.1288677
367,15.31,124.54,21.1380765,0.3062,2.4908,2.11380765
368,15.345,124.73,21.160634,0.3069,2.4946,2.1160634
369,15.38,124.92,21.1298665,0.3076,2.4984,2.11298665
370,15.415,125.11,21.0509985,0.3083,2.5022,2.10509985
371,15.45,125.3,21.089611,0.309,2.506,2.1089611
372,15.485,125.49,21.32367,0.3097,2.5098,2.132367
373,15.52,125.68,21.227114,0.3104,2.5136,2.1227114
374,15.555,125.87,20.8957345,0.3111,2.5174,2.08957345
375,15.59,126.06,21.333315,0.3118,2.5212,2.1333315
376,15.625,126.25,20.9119945,0.3125,2.525,2.09119945
377,15.66,126.44,21.0584475,0.3132,2.5288,2.10584475
378,15.695,126.63,21.1405335,0.3139,2.5326,2.11405335
379,15.73,126.82,21.046497,0.3146,2.5364,2.1046497
380,15.765,127.01,21.062713,0.3153,2.5402,2.1062713
381,15.8,127.2,20.8324845,0.316,2.544,2.08324845
382,15.835,127.39,21.014663,0.3167,2.5478,2.1014663
383,15.87,127.58,21.0465425,0.3174,2.5516,2.10465425
384,15.905,127.77,20.8215255,0.3181,2.5554,2.08215255
385,15.94,127.96,21.077625,0.3188,2.5592,2.1077625
386,15.975,128.15,20.807005,0.3195,2.563,2.0807005
387,16.01,128.34,20.7479435,0.3202,2.5668,2.07479435
388,16.045,128.53,20.88205,0.3209,2.5706,2.088205
389,16.08,128.72,20.8531965,0.3216,2.5744,2.08531965
390,16.115,128.91,21.02352025,0.3223,2.5782,2.102352025
391,16.15,129.1,20.725953,0.323,2.582,2.0725953
392,16.185,129.29,20.8050855,0.3237,2.5858,2.08050855
393,16.22,129.48,20.464832,0.3244,2.5896,2.0464832
394,16.255,129.67,20.7486355,0.3251,2.5934,2.07486355
395,16.29,129.86,20.7932825,0.3258,2.5972,2.07932825
396,16.325,130.05,20.852585,0.3265,2.601,2.0852585
397,16.36,130.24,20.88376,0.3272,2.6048,2.088376
398,16.395,130.43,21.252867,0.3279,2.6086,2.1252867
399,16.43,130.62,20.822184,0.3286,2.6124,2.0822184
400,16.465,130.81,19.9826055,0.3293,2.6162,1.99826055
401,16.5,131,20.7505675,0.33,2.62,2.07505675
402,16.535,131.19,20.752675,0.3307,2.6238,2.0752675
403,16.57,131.38,20.664841,0.3314,2.6276,2.0664841
404,16.605,131.57,20.566906,0.3321,2.6314,2.0566906
405,16.64,131.76,21.6676835,0.3328,2.6352,2.16676835
406,16.675,131.95,20.6205615,0.3335,2.639,2.06205615
407,16.71,132.14,20.5740445,0.3342,2.6428,2.05740445
408,16.745,132.33,20.6861865,0.3349,2.6466,2.06861865
409,16.78,132.52,20.715316,0.3356,2.6504,2.0715316
410,16.815,132.71,20.764328,0.3363,2.6542,2.0764328
411,16.85,132.9,20.5660225,0.337,2.658,2.05660225
412,16.885,133.09,20.5874155,0.3377,2.6618,2.05874155
413,16.92,133.28,20.7288405,0.3384,2.6656,2.07288405
414,16.955,133.47,20.6291265,0.3391,2.6694,2.06291265
415,16.99,133.66,20.569545,0.3398,2.6732,2.0569545
416,17.025,133.85,20.634597,0.3405,2.677,2.0634597
417,17.06,134.04,20.698177,0.3412,2.6808,2.0698177
418,17.095,134.23,20.578795,0.3419,2.6846,2.0578795
419,17.13,134.42,20.421332,0.3426,2.6884,2.0421332
420,17.165,134.61,20.642626,0.3433,2.6922,2.0642626
421,17.2,134.8,20.529864,0.344,2.696,2.0529864
422,17.235,134.99,20.644793,0.3447,2.6998,2.0644793
423,17.27,135.18,20.6916575,0.3454,2.7036,2.06916575
424,17.305,135.37,20.605924,0.3461,2.7074,2.0605924
425,17.34,135.56,20.5812855,0.3468,2.7112,2.05812855
426,17.375,135.75,20.521944,0.3475,2.715,2.0521944
427,17.41,135.94,20.700098,0.3482,2.7188,2.0700098
428,17.445,136.13,20.635496,0.3489,2.7226,2.0635496
429,17.48,136.32,20.7352945,0.3496,2.7264,2.07352945
430,17.515,136.51,20.376958,0.3503,2.7302,2.0376958
431,17.55,136.7,20.430617,0.351,2.734,2.0430617
432,17.585,136.89,20.3848145,0.3517,2.7378,2.03848145
433,17.62,137.08,20.263721,0.3524,2.7416,2.0263721
434,17.655,137.27,20.522034,0.3531,2.7454,2.0522034
435,17.69,137.46,20.372994,0.3538,2.7492,2.0372994
436,17.725,137.65,20.524921,0.3545,2.753,2.0524921
437,17.76,137.84,20.4226145,0.3552,2.7568,2.04226145
438,17.795,138.03,20.399185,0.3559,2.7606,2.0399185
439,17.83,138.22,21.12228933,0.3566,2.7644,2.112228933
440,17.865,138.41,20.4589445,0.3573,2.7682,2.04589445
441,17.9,138.6,20.478872,0.358,2.772,2.0478872
442,17.935,138.79,20.524413,0.3587,2.7758,2.0524413
443,17.97,138.98,20.2308915,0.3594,2.7796,2.02308915
444,18.005,139.17,20.7611075,0.3601,2.7834,2.07611075
445,18.04,139.36,20.434945,0.3608,2.7872,2.0434945
446,18.075,139.55,20.6501265,0.3615,2.791,2.06501265
447,18.11,139.74,20.4488765,0.3622,2.7948,2.04488765
